,Name,Age,Height,Weight,NOC,Medal
97181,Fritz Hofmann,24.0,167.0,56.0,GER,0
97213,Franz-Peter Hofmeister,24.0,185.0,71.0,FRG,0
97349,Rupert L. Hoilette,18.0,170.0,64.0,JAM,0
97736,Runar Rafael Holmberg,25.0,176.0,69.0,FIN,0
98354,Karl Honz,21.0,186.0,82.0,FRG,0
98356,Karl Honz,25.0,186.0,82.0,FRG,0
98786,Isidoro Hornillos Baz,23.0,179.0,71.0,ESP,0
100457,"Matthew Lloyd ""Matt"" Hudson-Smith",21.0,194.0,78.0,GBR,0
100614,Kenmore Henderson Hughes,22.0,175.0,72.0,ANT,0
101215,Erison George Hurtault,23.0,178.0,78.0,DMA,0
101216,Erison George Hurtault,27.0,178.0,78.0,DMA,0
101643,Dane Hyatt,28.0,183.0,86.0,JAM,0
102216,Ardalion Vasilyevich Ignatyev,21.0,173.0,68.0,URS,0
102218,Ardalion Vasilyevich Ignatyev,25.0,173.0,68.0,URS,Bronze
102312,Bruce Ijirighwo,22.0,175.0,73.0,NGR,0
102769,Keiji Imai,18.0,174.0,63.0,JPN,0
103062,Allan Ingraham,22.0,183.0,73.0,BAH,0
103908,Ibrahim Ismail Muftah Faraj,20.0,178.0,70.0,QAT,0
103910,Ibrahim Ismail Muftah Faraj,24.0,178.0,70.0,QAT,0
103911,Ibrahim Ismail Muftah Faraj,28.0,178.0,70.0,QAT,0
105304,Nordin Mohamed Jadi,22.0,170.0,62.0,MAS,0
105305,Nordin Mohamed Jadi,26.0,170.0,62.0,MAS,0
105678,Dawda Jallow,17.0,180.0,70.0,GAM,0
105680,Dawda Jallow,21.0,180.0,70.0,GAM,0
105682,Dawda Jallow,29.0,180.0,70.0,GAM,0
105737,Godday James,24.0,170.0,72.0,NGR,0
105754,Kirani James,19.0,180.0,66.0,GRN,Gold
105755,Kirani James,23.0,180.0,66.0,GRN,Silver
105756,"George Lawrence ""Larry"" James",20.0,181.0,70.0,USA,Silver
105834,Herbert Brotherson Jamison,20.0,173.0,69.0,USA,Silver
105976,Luka Janei,20.0,192.0,80.0,SLO,0
106588,Zbigniew Jaremski,23.0,182.0,75.0,POL,0
106590,Zbigniew Jaremski,27.0,182.0,75.0,POL,0
107021,Arsenio Larosa Jazmin,29.0,180.0,68.0,PHI,0
107046,Ivan Jean-Marie,23.0,185.0,67.0,LCA,0
107134,Tomasz Jdrusik,19.0,173.0,71.0,POL,0
107209,"Manikavasagam ""Mani"" Jegathesan",16.0,174.0,61.0,MAL,0
107343,Martin Jellinghaus,23.0,187.0,83.0,FRG,0
107400,"Charles Lamont ""Charlie"" Jenkins, Sr.",22.0,186.0,74.0,USA,Gold
107406,David Andrew Jenkins,20.0,190.0,82.0,GBR,0
107408,David Andrew Jenkins,24.0,190.0,82.0,GBR,0
107410,David Andrew Jenkins,28.0,190.0,82.0,GBR,0
108905,"Hjalmar ""Hjalle"" Johannesen",25.0,175.0,68.0,NOR,0
109310,Lauri Tommy Bjrn Stig Johansson (-Bjrnquist),25.0,182.0,81.0,SWE,0
109532,George Hy Johnson,18.0,175.0,64.0,LBR,0
109535,George Hy Johnson,22.0,175.0,64.0,LBR,0
109634,Michael Duane Johnson,28.0,183.0,77.0,USA,Gold
109635,Michael Duane Johnson,33.0,183.0,77.0,USA,Gold
110150,"Louis Woodard ""Lou"" Jones, III",24.0,183.0,76.0,USA,0
110205,Richard Jones,22.0,189.0,62.0,GUY,0
110624,Charles Joseph,20.0,172.0,70.0,TTO,0
110626,Charles Joseph,24.0,172.0,70.0,TTO,0
110652,Michael Angelo Joseph,20.0,167.0,66.0,BIZ,0
110723,Michael Craig Joubert,26.0,168.0,62.0,AUS,0
111014,Alberto Juantorena Danger,21.0,190.0,84.0,CUB,0
111015,Alberto Juantorena Danger,25.0,190.0,84.0,CUB,Gold
111018,Alberto Juantorena Danger,29.0,190.0,84.0,CUB,0
111554,"Georg ""Jrg"" Jttner",23.0,183.0,76.0,GER,0
111943,Oleksandr Viktorovych Kaidash,24.0,187.0,74.0,UKR,0
112193,Douglas Kalembo,28.0,178.0,56.0,ZAM,0
112218,Jrgen Kalfelder,24.0,185.0,80.0,GER,0
112232,Wavala Kali,22.0,173.0,66.0,PNG,0
112568,Claver Kamanya,21.0,175.0,65.0,TAN,0
112569,Claver Kamanya,25.0,175.0,65.0,TAN,0
112725,Davis Kamoga,28.0,180.0,73.0,UGA,Bronze
112726,Davis Kamoga,32.0,180.0,73.0,UGA,0
112768,Moses Kamut,22.0,172.0,74.0,VAN,0
112893,Yuzo Kanemaru,20.0,178.0,75.0,JPN,0
112894,Yuzo Kanemaru,24.0,178.0,75.0,JPN,0
112896,Yuzo Kanemaru,28.0,178.0,75.0,JPN,0
113307,Brahim Karabi,26.0,176.0,69.0,TUN,0
114022,Ossi Jalmari Karttunen,28.0,183.0,76.5,FIN,0
114283,Mwana Bute Kasongo,24.0,187.0,72.0,COD,0
114676,Carl Kaufmann,24.0,183.0,76.0,GER,Silver
115697,Simon Tirop Kemboi,25.0,178.0,74.0,KEN,0
115861,Sahr Kendor,17.0,172.0,52.0,SLE,0
116078,Francis Kerbiriou,21.0,178.0,66.0,FRA,0
116204,George Ezekiel Kerr,19.0,180.0,70.0,JAM,0
116418,Reinhold Keskll,23.0,167.0,60.0,EST,0
116809,Ali Khamis Abbas Ali Khamis,21.0,182.0,70.0,BRN,0
116870,"Lawrence G. ""Laurie"" Khan",21.0,169.0,61.0,JAM,0
117073,Panh Khemanith,27.0,171.0,60.0,LAO,0
117652,Raymond Kibet,20.0,185.0,64.0,KEN,0
117654,Victor Kibet,24.0,173.0,68.0,KEN,0
117930,Gary Kikaya Senga,26.0,184.0,75.0,COD,0
117931,Gary Kikaya Senga,30.0,184.0,75.0,COD,0
119400,Manfred Kinder,22.0,184.0,73.0,GER,0
119404,Manfred Kinder,30.0,184.0,73.0,FRG,0
119687,Simeon Kipkemboi,28.0,190.0,74.0,KEN,0
120041,David Kipkorir Kirui,25.0,175.0,71.0,KEN,0
120169,Alphas Leken Kishoyian,21.0,167.0,59.0,KEN,0
120403,David Kitur,21.0,183.0,73.0,KEN,0
